objectid,year,state,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,shape_length,shape_area
7358,1950,CA,CDF,HUU,H.E.LOCKEN,0,1950-07-26,,14,,,277.584808349609,,1,61,4913.89702952957,1123345.82032969
1953,1950,CA,CCO,LAC,,0,1950-07-27,,14,,,49.5569763183594,,1,0,2075.49488669346,200549.974004278
6395,1950,CA,USF,MDF,PEREZ,0,1950-07-27,,9,,,4.83741474151611,,1,39,785.732995706912,19576.3231391169
18251,1950,CA,NPS,KNP,DEER COVE,0,1950-07-27,1950-07-28,3,,355,567.008728027344,8,1,14,7922.09746787479,2294602.82480089
1956,1950,CA,CCO,LAC,BOUNDARY,0,1950-07-28,,14,,,2709.94604492188,,1,12,28571.9386548279,10966762.7509898
3581,1950,CA,CDF,TCU,SAN ANTONE,0,1950-07-28,,14,,,407.204803466797,,1,38,6152.94427930652,1647899.38060997
5154,1950,CA,CDF,HUU,PAPPAS,0,1950-07-29,,14,,,1034.70349121094,,1,4,9778.92120530418,4187296.39238599
3585,1950,CA,CDF,SNU,SMITH,0,1950-07-30,,14,,,944.935180664062,,1,291,11956.2238524063,3824016.98206768
5164,1950,CA,CDF,MMU,WILDCAT MOUNTAIN,0,1950-07-30,,14,,,189.238143920898,,1,41,3844.85125674437,765819.580624971
8436,1950,CA,CCO,LAC,,0,1950-07-30,,14,,,17.8915786743164,,1,0,1025.07506763108,72404.6478153091
8556,1950,CA,CDF,SKU,HART'S LAKE,0,1950-07-30,,14,,,3624.546875,,1,46,17953.6590766576,14668020.853181
8558,1950,CA,CDF,SHU,ARMSTRONG - DERSCH,0,1950-07-30,,14,,,3669.49755859375,,1,201,19009.5928631884,14849929.6281135
8559,1950,CA,CDF,SHU,BACKBONE,0,1950-07-31,,14,,,635.734619140625,,1,205,6914.09365997974,2572726.78063769
3598,1950,CA,CDF,MMU,WILD CAT ACRES,0,1950-08-02,,14,,,1190.86975097656,,1,43,10184.2928120184,4819278.90476389
1955,1950,CA,CCO,LAC,CIENEGA,0,1950-08-03,,14,,,6681.5302734375,,1,13,26829.8799219553,27039193.2177976
8564,1950,CA,CDF,SHU,FRISBIE,0,1950-08-03,,14,,,922.305969238281,,1,215,11265.4612742081,3732439.8837611
5197,1950,CA,USF,SNF,NELSON COVE,0,1950-08-04,,9,,,505.452270507812,,1,2,5624.2951623135,2045492.72305406
6874,1950,CA,CDF,RRU,MORRELL,0,1950-08-05,,14,,,5117.615234375,,1,532,24479.7913309418,20710254.5852342
1948,1950,CA,CDF,MVU,VALLEY VIEW,0,1950-08-06,,14,,,2445.02612304688,,1,522,14779.8661897316,9894669.99800842
7360,1950,CA,CDF,LNU,I.G. ZUMWALT,0,1950-08-06,,14,,,344.893920898438,,1,8,5362.35288173171,1395736.16058227
7366,1950,CA,CDF,TCU,LOMBARDI,0,1950-08-06,,14,,,446.452239990234,,1,43,6370.46434031382,1806728.16358626
5192,1950,CA,USF,PNF,LONE ROCK VALLEY,0,1950-08-07,,1,,,292.875579833984,,1,69,6577.16584330999,1185225.38908403
7359,1950,CA,CDF,BTU,HARTS MILL,0,1950-08-07,,14,,,281.030334472656,,1,364,5012.2978782871,1137289.3934864
7665,1950,CA,USF,TNF,CHIPPS,0,1950-08-07,1950-08-07,3,,60,89.7134017944336,,1,37,2932.69007381218,363057.268966621
14390,1950,CA,CCO,SBC,BOGNUDA - RANCH,0,1950-08-07,,14,,,288.872406005859,,1,175,4474.96453028444,1169025.19618522
5194,1950,CA,USF,PNF,GARNIER,0,1950-08-08,,9,,,4096.64013671875,,1,51,20042.7060446584,16578515.347821
6394,1950,CA,USF,MDF,POLE 1-55,0,1950-08-10,,9,,,6.05312442779541,,1,88,669.67292040574,24496.125219257
6400,1950,CA,USF,SRF,ULLATHORNE,0,1950-08-10,,5,,,5.27755403518677,,1,200361,518.719655145374,21357.5027860204
8563,1950,CA,CDF,SHU,EDMONDS,0,1950-08-10,,14,,,359.175140380859,,1,228,4756.23714270007,1453530.27407678
13324,1950,CA,CDF,TCU,THREE CORNERS,,1950-08-13,,14,20090305,0,383.223937988281,8,1,10,6755.32652904867,1550852.23797447
14303,1950,CA,CCO,VNC,FEROUD,0,1950-08-15,,14,,,432.602508544922,,1,23,5251.24480056988,1750680.19899909
18249,1950,CA,NPS,KNP,GOAT MTN,0,1950-08-15,1950-08-17,1,,18,4.00417613983154,8,1,21,600.088361380229,16204.3250931543
1754,1950,CA,CDF,MVU,CONEJOS,0,1950-08-16,,9,,,62848.7421875,,1,564,134246.492183679,254339831.59721
5267,1950,CA,USF,MDF,DRY LAKE,0,1950-08-16,,1,,,224.746459960938,,1,121,4396.96495792362,909516.640080008
5165,1950,CA,CDF,MEU,YORKVILLE RANCH,0,1950-08-17,,14,,,297.015167236328,,1,173,5045.13351667105,1201977.7530177
5169,1950,CA,CDF,BEU,MACK,0,1950-08-17,,14,,,35380.453125,,1,54,56756.9791713592,143179620.380096
6405,1950,CA,USF,MDF,PLUM RIDGE,0,1950-08-17,,14,,,4925.50537109375,,1,126,25854.4483187064,19932814.0159293
